# T3 FLAVOR TAGS — 183 products
# Format: SKU|name|classification|country|region|grape|style

WWW5307AD|Talamonti  Aternum Trebbiano D'Abruzzo|White Wine|Italy|Abruzzo|Trebbiano|Medium-bodied White
WWW5327AB|Alpaca  Organic White|White Wine|Chile|Central Valley|Sauvignon Blanc|Medium-bodied White
WWW5353FP|Max Ferd. Richter  Mulheimer Helenenkloster Riesling Spatlese|White Wine|Germany|Mosel|Riesling|Riesling
WWW5377DH|Bianka & Daniel Schmitt  Feminin Trocken|White Wine|Germany||Chardonnay|Medium-bodied White
WWW5378AB|Nik Weis  Goldtröpfchen Riesling VDP.GRAND CRU (GROSSES GEWÄCHS)|White Wine|Germany|Mosel|Riesling|Riesling
WWW5380AB|Nik Weis  Goldtröpfchen Riesling Spätlese|White Wine|Germany|Mosel|Riesling|Riesling
WWW5416FJ|Heim  Pinot Blanc Imperial|White Wine|France|Alsace|Riesling|Medium-bodied White
WWW5423AA|Baron Philippe de Rothschild  Mouton Cadet Bordeaux Blanc BIO "Nathan"|White Wine|France|Bordeaux|Sauvignon Blanc|Medium-bodied White
WWW5425AA|Velenosi  Villa Angela Chardonnay IGT|White Wine|Italy|Marche|Chardonnay|Chardonnay
WWW5429CB|Domaine Jaume  Cotes-Du-Rhone Blanc AOP|White Wine|France|Rhône|Chardonnay|Clairette 25 % - Grenache 25 % - Marsanne 25 % - Roussane 15 % - Viognier 10 %
WWW5436FC|Louis Latour  Chateau De Blagny Meursault 1er Cru|White Wine|France|Burgundy|Chardonnay|Medium-bodied White
