sku,item_name,websites,base_image_url,item_url
WRW0056AG,West End Estate Down Under  Shiraz,"Admin, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/R/W/RW0056G.jpg,https://th.wine-now.com/west-end-estate-down-under-shiraz.html
WRW0057AG,Goiya  Shiraz/Pinotage,"Admin, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/R/W/RW0057G.jpg,https://th.wine-now.com/goiya-shiraz-pinotage.html
WRW0058AG,Fat Bastard  Shiraz,"Admin, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/R/W/RW0058G.jpg,https://th.wine-now.com/fat-bastard-shiraz.html
WRW0059AG,Overstone  Pinot Noir,"Admin, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/R/W/RW0059G.jpg,https://th.wine-now.com/overstone-pinot-noir.html
WRW0060AA,Santa Helena  Gran Reserva Directorio Merlot,"Admin, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/w/r/wrw0060aa.jpg,https://th.wine-now.com/santa-helena-merlot-selection-del-directorio.html
WRW0061AC,Katnook  Founder's Block Shiraz,"Admin, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/w/r/wrw0061ac_1.jpg,https://th.wine-now.com/katnook-founder-s-block-shiraz.html
WRW0062FS,Santa Helena  Varietal Merlot,"Liq9 B2B, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/w/r/wrw0062aa.jpg,https://th.wine-now.com/santa-helena-varietal-merlot.html
WRW1921AC,Carta Vieja  Cabernet Sauvignon,"Liq9 B2B, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/w/r/wrw1921ac.jpg,https://th.wine-now.com/carta-vieja-carbernet-sauvignon.html
WRW0064AC,Carta Vieja  Limited Release Syrah,"Liq9 B2B, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/w/r/wrw0064ac_1.jpg,https://th.wine-now.com/carta-vieja-limited-release-syrah.html
WRW0065AC,Chateau Jany,"Admin, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/R/W/RW0065C.jpg,https://th.wine-now.com/chateau-jany.html
WRW0066AC,Duckhorn  Decoy Merlot,"Liq9 B2B, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/w/r/wrw0066ac_1.jpg,https://th.wine-now.com/duckhorn-decoy-merlot.html
WRW0067AC,Duckhorn  Decoy Cabernet Sauvignon,"Liq9 B2B, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/w/r/wrw0067ac_1.jpg,https://th.wine-now.com/duckhorn-decoy-cabernet-sauvignon.html
WRW0068AC,Kendall Jackson  Vintner's Reserve Zinfandel-disabled,"Admin, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/R/W/RW0068C.jpg,https://th.wine-now.com/kendall-jackson-vintner-s-reserve-zinfandel-disabled.html
WRW0069AC,Irony  Cabernet Sauvignon,"Admin, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/R/W/RW0069C.jpg,https://th.wine-now.com/irony-cabernet-sauvignon.html
WRW0070AC,Irony  Merlot,"Admin, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/w/r/wrw0070ac.jpg,https://th.wine-now.com/irony-merlot.html
WRW0071AC,Crane Lake  Malbec,"Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/w/r/wrw0071ac_3.jpg,https://th.wine-now.com/crane-lake-malbec.html
WRW0073AC,Woodhaven  Carbernet Sauvignon,"Admin, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/w/r/wrw0073ac_1.jpg,https://th.wine-now.com/woodhaven-carbernet-sauvignon.html
WRW0079AF,Robertson Winery  Ruby Cabernet,"Admin, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/r/w/rw0079f_1.png,https://th.wine-now.com/robertson-winery-ruby-cabernet.html
WRW0080AF,Robertson Winery  Pinotage,"Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/r/w/rw0080f_2.png,https://th.wine-now.com/robertson-winery-pinotage.html
WRW0081AF,Robertson Winery  Merlot,"Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/r/w/rw0081f_1.png,https://th.wine-now.com/robertson-winery-merlot.html
WRW0082AF,Robertson Winery  Cabernet Sauvignon,"Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/R/W/RW0082F.jpg,https://th.wine-now.com/robertson-cabernet-sauvignon.html
WRW0083AF,Almaviva  2010,"Admin, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/w/r/wrw0083af_1.png,https://th.wine-now.com/almaviva-2010.html
WRW0085AA,Lungarotti  San Giorgio,"Liq9 B2B, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/w/r/wrw0085aa_1.jpg,https://th.wine-now.com/lungarotti-san-giorgio.html
WRW0086AA,San Polo  Rubio,"Liq9 B2B, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/w/r/wrw0086aap.jpg,https://th.wine-now.com/san-polo-rubio.html
WRW0102AC,"Diggers Bluff  ""Sly Dog"" Cabernet Sauvignon","Admin, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/R/W/RW0102C.jpg,https://th.wine-now.com/diggers-bluff-sly-dog-cabernet-sauvignon.html
WRW0103AC,"Diggers Bluff  ""Watch Dog"" Cabernet Shiraz","Admin, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/R/W/RW0103C.jpg,https://th.wine-now.com/diggers-bluff-watch-dog-cabernet-shiraz.html
WRW0105AC,Inspired Company  Shiraz Cabernet,"Liq9 B2B, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/w/r/wrw0105ac_1.jpg,https://th.wine-now.com/inspired-company-shiraz-cabernet.html
WRW0106AC,Inspired Company  Cabernet Merlot,"Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/R/W/RW0106C.jpg,https://th.wine-now.com/inspired-company-cabernet-merlot.html
WRW0107AC,Katnook  Estate Cabernet Sauvignon,"Admin, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/w/r/wrw0107ac_1.jpg,https://th.wine-now.com/katnook-estate-cabernet-sauvignon.html
WRW0108AC,Katnook  Limited Release Prodigy Shiraz,"Admin, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/w/r/wrw0108ac_1.jpg,https://th.wine-now.com/katnook-limited-release-prodigy-shiraz.html
WRW0109AC,Katnook  Limited Release Odyssey Cabernet Sauvignon,"Admin, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/w/r/wrw0109ac_1.jpg,https://th.wine-now.com/katnook-limited-release-odyssey-cabernet-sauvignon.html
WRW0110AC,Lambloch  Hunter Valley Shiraz,"Admin, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/R/W/RW0110C.jpg,https://th.wine-now.com/lambloch-hunter-valley-shiraz.html
WRW0111AC,Leconfield Coonawarra  Cabernet Sauvignon,"Admin, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/R/W/RW0111C.jpg,https://th.wine-now.com/leconfield-coonawarra-cabernet-sauvignon.html
WRW0112AC,Manu  Marlborough Pinot Noir,"Admin, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/w/r/wrw0112ac_1.png,https://th.wine-now.com/manu-marlborough-pinot-noir.html
WRW0119AC,Sunnycliff  Shiraz Cabernet Sauvignon,"Liq9 B2B, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/w/r/wrw0119ac.jpg,https://th.wine-now.com/sunnycliff-range-shiraz-cabernet-sauvignon.html
WRW0120AC,Sunnycliff  Shiraz,"Liq9 B2B, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/w/r/wrw0120ac_1.jpg,https://th.wine-now.com/sunnycliff-range-shiraz.html
WRW0121AC,Sunnycliff  Cabernet Sauvignon,"Liq9 B2B, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/w/r/wrw0121ac.jpg,https://th.wine-now.com/sunnycliff-range-cabernet-sauvignon.html
WRW0123AC,Terralis  Winemaker's Choice Cabernet Sauvignon,"Admin, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/R/W/RW0123C.jpg,https://th.wine-now.com/terralis-winemaker-s-choice-cabernet-sauvignon.html
WRW0127AC,Terralis  Winemaker's Choice Malbec,"Admin, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/R/W/RW0127C.jpg,https://th.wine-now.com/terralis-winemaker-s-choice-malbec.html
WRW0128AC,Tim Smith  Barossa Shiraz,"Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/w/r/wrw0128ac.jpg,https://th.wine-now.com/tim-smith-barossa-shiraz.html
WRW0129AC,Tim Smith  Mataro Grenache Shiraz (MGS),"Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/R/W/RW0129C.jpg,https://th.wine-now.com/tim-smith-mataro-grenache-shiraz-mgs.html
WRW0130AC,Tree Line  Cabernet Merlot,"Admin, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/w/r/wrw0130ac.jpg,https://th.wine-now.com/tree-line-range-cabernet-merlot.html
WRW0131AC,Tree Line  Shiraz Cabernet,"Admin, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/R/W/RW0131C.jpg,https://th.wine-now.com/tree-line-range-shiraz-cabernet.html
WSP0001AC,Francis Coppola  Sofia Blanc de Blanc,"Admin, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/S/P/SP0001C.jpg,https://th.wine-now.com/francis-coppola-sofia-blanc-de-blanc.html
WSP0002AA,Delamotte  Brut (375 ml),"Admin, Liq9 B2B, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/S/P/SP0002A.jpg,https://th.wine-now.com/delamotte-brut-375ml.html
WSP0003FO,Billecart Salmon Brut Le Reserve,"Liq9 B2B, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/w/s/wsp0003fo.jpg,https://th.wine-now.com/billecart-salmon-brut-le-reserve.html
WSP0005FO,Billecart Salmon  Le Rose,"Liq9 B2B, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/w/s/wsp0005fo_1.jpg,https://th.wine-now.com/billecart-salmon-le-rose.html
WSP0009AA,7 Cascine  Prosecco Extra Dry Spumante,"Liq9 B2B, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/w/s/wsp0009aa_5.jpg,https://th.wine-now.com/7-cascine-prosecco-extra-dry-spumante.html
WSP0012AG,Il Cortigiano  Prosecco Extra Dry,"Admin, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/S/P/SP0012G.jpg,https://th.wine-now.com/il-cortigiano-prosecco-extra-dry.html
WSP0013AA,7 Cascine  Pinot Chardonnay,"Admin, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/w/s/wsp0013aa_1.jpg,https://th.wine-now.com/cascine-7-pinot-chardonnay.html
WSP0014AF,Deutz  Brut Classic,"Liq9 B2B, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/S/P/SP0014F.jpg,https://th.wine-now.com/deutz-brut-classic.html
WSP0015AF,Deutz  Brut Rose,"Liq9 B2B, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/S/P/SP0015F.jpg,https://th.wine-now.com/deutz-brut-rose.html
WSP2491AF,Pol Roger  Brut Reserve,"Liq9 B2B, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/w/s/wsp0016af_1.png,https://th.wine-now.com/pol-roger-brut.html
