sku,is_in_stock,status,brand,name,vintage,bottle_size,thumbnail,image,small_image
WDW0116EC,0,1,Joao Portugal,Joao Portugal  Duorum Port 20° Late Bottled Vintage,2011 [**VINTAGE MAY CHANGE],750 ml,https://th.wine-now.com/media/catalog/product/w/d/wdw0116ec.jpg,https://th.wine-now.com/media/catalog/product/w/d/wdw0116ec.jpg,https://th.wine-now.com/media/catalog/product/w/d/wdw0116ec.jpg
WRW4475EC,0,1,Fundacao Abreu Callado,Fundacao Abreu Callado  Infinitum Grande Reserva,2011 [**VINTAGE MAY CHANGE],750 ml,https://th.wine-now.com/media/catalog/product/w/r/wrw4475ec.jpg,https://th.wine-now.com/media/catalog/product/w/r/wrw4475ec.jpg,https://th.wine-now.com/media/catalog/product/w/r/wrw4475ec.jpg
WRW4476EC,0,1,Herdade Do Gamito,Herdade Do Gamito  Terras Do Crato,Current vintage,750 ml,https://th.wine-now.com/media/catalog/product/w/r/wrw4476ec.jpg,https://th.wine-now.com/media/catalog/product/w/r/wrw4476ec.jpg,https://th.wine-now.com/media/catalog/product/w/r/wrw4476ec.jpg
WRS0136EC,0,1,Gazela,Gazela  Vinho Verde Rose,Current vintage,750 ml,https://th.wine-now.com/media/catalog/product/w/r/wrs0136ec.jpg,https://th.wine-now.com/media/catalog/product/w/r/wrs0136ec.jpg,https://th.wine-now.com/media/catalog/product/w/r/wrs0136ec.jpg
WWW2318EC,0,1,Terra Franca,Terra Franca  White,Current vintage,750 ml,https://th.wine-now.com/media/catalog/product/w/w/www2318ec.jpg,https://th.wine-now.com/media/catalog/product/w/w/www2318ec.jpg,https://th.wine-now.com/media/catalog/product/w/w/www2318ec.jpg
WRS0137EC,0,1,Terra Franca,Terra Franca  Rose,Current vintage,750 ml,https://th.wine-now.com/media/catalog/product/w/r/wrs0137ec.jpg,https://th.wine-now.com/media/catalog/product/w/r/wrs0137ec.jpg,https://th.wine-now.com/media/catalog/product/w/r/wrs0137ec.jpg
WRS0138EC,0,1,Herdade Do Peso,Herdade Do Peso  Vinha Do Monte Rose,Current vintage,750 ml,https://th.wine-now.com/media/catalog/product/w/r/wrs0138ec.jpg,https://th.wine-now.com/media/catalog/product/w/r/wrs0138ec.jpg,https://th.wine-now.com/media/catalog/product/w/r/wrs0138ec.jpg
WWW2320EC,0,1,Herdade Do Peso,Herdade Do Peso  Vinha Do Monte White,Current vintage,750 ml,https://th.wine-now.com/media/catalog/product/w/w/www2320ec.jpg,https://th.wine-now.com/media/catalog/product/w/w/www2320ec.jpg,https://th.wine-now.com/media/catalog/product/w/w/www2320ec.jpg
WRW4479EC,0,1,Herdade Do Peso,Herdade Do Peso  Peso Colheita,N/V,750 ml,https://th.wine-now.com/media/catalog/product/w/r/wrw4479ec.jpg,https://th.wine-now.com/media/catalog/product/w/r/wrw4479ec.jpg,https://th.wine-now.com/media/catalog/product/w/r/wrw4479ec.jpg
WRW4480EC,0,1,Herdade Do Peso,Herdade Do Peso  Reserva,N/V,750 ml,https://th.wine-now.com/media/catalog/product/w/r/wrw4480ec.jpg,https://th.wine-now.com/media/catalog/product/w/r/wrw4480ec.jpg,https://th.wine-now.com/media/catalog/product/w/r/wrw4480ec.jpg
WWW2321EC,0,1,Morgadio Da Torre,Morgadio Da Torre  Alvarinho Vinho Verde,Current vintage,750 ml,https://th.wine-now.com/media/catalog/product/w/w/www2321ec.jpg,https://th.wine-now.com/media/catalog/product/w/w/www2321ec.jpg,https://th.wine-now.com/media/catalog/product/w/w/www2321ec.jpg
WWW2319EC,0,1,Quinta Do Carvalhais,Quinta Do Carvalhais  Encruzado,2015 [**VINTAGE MAY CHANGE],750 ml,https://th.wine-now.com/media/catalog/product/w/w/www2319ec.jpg,https://th.wine-now.com/media/catalog/product/w/w/www2319ec.jpg,https://th.wine-now.com/media/catalog/product/w/w/www2319ec.jpg
WDW0117EC,0,1,Ferreira Porto,Ferreira Porto  Branco,N/V,750 ml,https://th.wine-now.com/media/catalog/product/w/d/wdw0117ec.jpg,https://th.wine-now.com/media/catalog/product/w/d/wdw0117ec.jpg,https://th.wine-now.com/media/catalog/product/w/d/wdw0117ec.jpg
WDW0118EC,0,1,Ferreira Porto,Ferreira Porto  Tawny,N/V,750 ml,https://th.wine-now.com/media/catalog/product/w/d/wdw0118ec.jpg,https://th.wine-now.com/media/catalog/product/w/d/wdw0118ec.jpg,https://th.wine-now.com/media/catalog/product/w/d/wdw0118ec.jpg
